Sentencing County,Offense Type,Sentence Years,Sentence Months
White,Property Crimes,0001,000
Cook,Person Crimes,0008,000
Macon,Property Crimes,0003,000
Jefferson,Sex Crimes,0030,000
Cook,Person Crimes,0007,000
Vermilion,Person Crimes,0003,000
Cook,Property Crimes,0002,000
Cook,Person Crimes,0003,000
Madison,Drug Crimes,0002,000
Cook,Property Crimes,0005,000
Will,Person Crimes,0003,000
Cook,Person Crimes,0015,000
Jackson,Person Crimes,0004,000
Cook,Person Crimes,0001,000
Macon,Property Crimes,0003,000
McLean,Person Crimes,0004,000
Will,Person Crimes,0002,000
Cook,Person Crimes,0000,066
Bond,Person Crimes,0003,006
McHenry,Sex Crimes,0003,000
Macoupin,Person Crimes,0001,000
Cook,Person Crimes,0006,000
Winnebago,Person Crimes,0010,000
Cook,Drug Crimes,0004,000
Knox,Person Crimes,0003,000
Christian,Drug Crimes,0005,000
St. Clair,Person Crimes,0002,000
Rock Island,Property Crimes,0005,000
Cook,Person Crimes,0012,000
Cook,Person Crimes,0012,000
Cook,Property Crimes,0001,000
Cook,Property Crimes,0003,000
Cook,Person Crimes,0004,006
St. Clair,Person Crimes,0009,000
Woodford,Person Crimes,0005,006
McHenry,Person Crimes,0002,000
Kane,Drug Crimes,0005,000
Cook,Property Crimes,0003,000
Rock Island,Sex Crimes,0007,006
Cook,Person Crimes,0001,000
Tazewell,Property Crimes,0005,000
Kane,Sex Crimes,0000,096
DeKalb,Property Crimes,0003,000
Champaign,Person Crimes,0015,000
Cook,Sex Crimes,0006,000
Winnebago,Property Crimes,0002,000
Cook,Person Crimes,0005,000
McHenry,Property Crimes,0001,000
Kendall,Person Crimes,0001,006
Will,Person Crimes,0006,000
Cook,Person Crimes,0009,000
Cook,Drug Crimes,0001,000
Whiteside,Drug Crimes,0004,000
Macon,Person Crimes,0003,000
St. Clair,Sex Crimes,0006,000
Cook,Person Crimes,0000,066
Cook,Person Crimes,0008,000
Lasalle,Person Crimes,0006,000
Kane,Drug Crimes,0019,006
Cook,Person Crimes,0006,000
Cook,Person Crimes,0002,000
Cook,Property Crimes,0001,000
Cook,Person Crimes,0000,018
Clark,Person Crimes,0005,000
Kendall,Drug Crimes,0004,000
Coles,Person Crimes,0005,000
Cook,Person Crimes,0003,000
Jefferson,Person Crimes,0003,000
Cook,Person Crimes,0004,000
Marion,Drug Crimes,0003,000
Peoria,Property Crimes,0003,000
Cook,Person Crimes,0001,000
Tazewell,Sex Crimes,0003,000
Dupage,Property Crimes,0003,000
Livingston,Person Crimes,0001,000
Cook,Drug Crimes,0000,016
